Wall time,Step,Value
1524073386.695506,24001,0.44091796875
1524073435.339246,24101,0.43115234375
1524073481.032931,24201,0.42578125
1524073527.126911,24301,0.439453125
1524073572.859569,24401,0.4326171875
1524073618.437067,24501,0.44873046875
1524073664.50539,24601,0.44482421875
1524073710.147116,24701,0.44384765625
1524073758.837318,24801,0.40673828125
1524073804.832555,24901,0.43603515625
1524073896.549519,25101,0.45849609375
1524073988.131223,25301,0.46826171875
1524074310.697974,26001,0.4384765625
1524074404.866126,26201,0.41845703125
1524074496.22944,26401,0.4482421875
1524074587.65412,26601,0.43994140625
1524074727.670023,26901,0.4453125
1524074773.816364,27001,0.43212890625
1524074911.370287,27301,0.43603515625
1524074959.878454,27401,0.46923828125
1524075005.727579,27501,0.45654296875
1524075051.588476,27601,0.44287109375
1524075097.410619,27701,0.42578125
1524075142.976103,27801,0.4384765625
1524075236.890044,28001,0.44677734375
1524075282.636291,28101,0.4375
1524075328.678881,28201,0.4404296875
1524075420.050873,28401,0.43701171875
1524075466.015547,28501,0.4306640625
1524075560.157321,28701,0.44189453125
1524075606.223069,28801,0.43359375
1524075651.8657,28901,0.4560546875
1524075743.564209,29101,0.45068359375
1524075789.270207,29201,0.4482421875
1524075837.445488,29301,0.458984375
1524075883.738054,29401,0.4404296875
1524075929.63616,29501,0.4404296875
1524075975.737213,29601,0.46044921875
1524076022.13488,29701,0.447265625
1524076068.076849,29801,0.4462890625
1524076113.90062,29901,0.42822265625
1524076162.725423,30001,0.45166015625
1524076208.380182,30101,0.43408203125
1524076254.214141,30201,0.4365234375
1524076299.795863,30301,0.4462890625
1524076345.384259,30401,0.439453125
1524076391.328871,30501,0.46728515625
1524076485.616069,30701,0.431640625
1524076577.500644,30901,0.44580078125
1524076622.936839,31001,0.43017578125
1524076668.425014,31101,0.45947265625
1524076714.181634,31201,0.47216796875
1524076762.51632,31301,0.46142578125
1524076808.488045,31401,0.47216796875
1524076900.174876,31601,0.43359375
1524076945.668936,31701,0.45068359375
1524076991.593859,31801,0.4599609375
1524077040.132268,31901,0.46337890625
1524077177.309714,32201,0.4716796875
1524077222.981829,32301,0.45654296875
1524077314.186487,32501,0.45361328125
1524077408.204415,32701,0.45361328125
1524077453.750685,32801,0.44677734375
1524077545.231796,33001,0.4443359375
1524077590.674977,33101,0.4677734375
1524077730.053633,33401,0.44873046875
1524077775.833935,33501,0.447265625
1524077821.971218,33601,0.45947265625
1524077913.383677,33801,0.46337890625
1524077962.523554,33901,0.44189453125
1524078008.35005,34001,0.4482421875
1524078054.228623,34101,0.46728515625
1524078100.294704,34201,0.4599609375
1524078146.294675,34301,0.439453125
1524078192.068581,34401,0.4755859375
1524078240.78159,34501,0.44921875
1524078332.658429,34701,0.4765625
1524078378.66025,34801,0.46435546875
1524078470.161503,35001,0.44970703125
1524078564.902733,35201,0.4638671875
1524078610.694818,35301,0.46142578125
1524078656.883157,35401,0.4365234375
1524078702.683102,35501,0.46826171875
1524078748.550078,35601,0.43994140625
1524078794.275849,35701,0.46142578125
1524078888.413205,35901,0.46435546875
1524078934.461829,36001,0.4482421875
1524079026.364823,36201,0.46728515625
1524079072.706648,36301,0.4765625
1524079118.460019,36401,0.447265625
1524079213.335385,36601,0.45751953125
1524079258.964004,36701,0.453125
1524079304.484859,36801,0.4501953125
1524079350.727521,36901,0.45654296875
1524079396.508956,37001,0.45654296875
1524079444.855077,37101,0.44775390625
1524079490.694795,37201,0.4609375
1524079581.380792,37401,0.439453125
1524079627.116407,37501,0.45849609375
1524079672.626435,37601,0.4541015625
1524079718.161828,37701,0.4619140625
1524079811.731747,37901,0.4697265625
1524079857.101234,38001,0.44287109375
1524079948.038091,38201,0.47607421875
1524079993.599652,38301,0.47998046875
1524080041.914531,38401,0.46240234375
1524080087.319109,38501,0.4580078125
1524080132.772303,38601,0.4541015625
1524080178.52056,38701,0.443359375
1524080223.87297,38801,0.46923828125
1524080363.221822,39101,0.4521484375
1524080408.775643,39201,0.443359375
1524080500.050047,39401,0.46240234375
1524080545.465641,39501,0.44873046875
1524080591.086261,39601,0.4765625
1524080639.486983,39701,0.46435546875
1524080685.091411,39801,0.47509765625
1524080730.973445,39901,0.451171875
1524080776.512794,40001,0.4384765625
1524080822.073838,40101,0.45849609375
1524080867.982866,40201,0.4521484375
1524080913.523114,40301,0.4609375
1524080961.899822,40401,0.47705078125
1524081007.749323,40501,0.44970703125
1524081053.230302,40601,0.462890625
1524081190.062206,40901,0.45458984375
1524081284.170023,41101,0.4677734375
1524081375.529636,41301,0.47314453125
1524081421.494623,41401,0.4638671875
1524081467.139455,41501,0.4609375
1524081512.727049,41601,0.45458984375
1524081560.922018,41701,0.4580078125
1524081606.529207,41801,0.46337890625
1524081698.043423,42001,0.45458984375
1524081788.914805,42201,0.46875
1524081909.222129,42401,0.4775390625
1524081955.078552,42501,0.44580078125
1524082000.93364,42601,0.43798828125
1524082046.725109,42701,0.4482421875
1524082092.700014,42801,0.45849609375
1524082141.781096,42901,0.47607421875
1524082234.176005,43101,0.45947265625
1524082280.132948,43201,0.46923828125
1524082325.797967,43301,0.46142578125
1524082371.669749,43401,0.453125
1524082417.364493,43501,0.44482421875
1524082466.278672,43601,0.4599609375
1524082558.193842,43801,0.4716796875
1524082603.903735,43901,0.47412109375
1524082650.191654,44001,0.4619140625
1524082790.490938,44301,0.45458984375
1524082836.499725,44401,0.46240234375
1524082928.564825,44601,0.474609375
1524082974.33138,44701,0.47900390625
1524083068.187884,44901,0.46435546875
1524083206.227415,45201,0.4609375
1524083297.913366,45401,0.458984375
1524083346.453897,45501,0.47412109375
1524083392.377076,45601,0.4677734375
1524083438.304881,45701,0.44677734375
1524083484.40231,45801,0.45703125
1524083576.095898,46001,0.443359375
1524083716.32066,46301,0.46435546875
1524083808.064831,46501,0.458984375
1524083853.580725,46601,0.4892578125
1524083899.540867,46701,0.46630859375
1524083992.631802,46901,0.4853515625
1524084083.680177,47101,0.48095703125
1524084129.131837,47201,0.4580078125
1524084174.831196,47301,0.46875
1524084314.504018,47601,0.4541015625
1524084360.125533,47701,0.48193359375
1524084405.818453,47801,0.46923828125
1524084451.476953,47901,0.458984375
1524084545.153618,48101,0.4677734375
1524084591.048497,48201,0.46044921875
1524084636.936553,48301,0.47021484375
1524084728.82674,48501,0.47314453125
1524084774.540052,48601,0.462890625
1524084820.394917,48701,0.4521484375
1524084869.695005,48801,0.47412109375
1524084961.282783,49001,0.4658203125
1524085052.990818,49201,0.46728515625
1524085098.614168,49301,0.48046875
1524085192.461236,49501,0.47509765625
1524085237.923882,49601,0.45849609375
1524085330.094071,49801,0.47802734375
1524085375.619149,49901,0.46435546875
1524085421.316177,50001,0.47998046875
1524085561.711151,50301,0.4619140625
1524085607.35682,50401,0.4755859375
1524085652.936734,50501,0.45263671875
1524085698.958719,50601,0.45556640625
1524085747.718665,50701,0.44873046875
1524085793.411355,50801,0.474609375
1524085839.16137,50901,0.4677734375
1524085884.8314,51001,0.48095703125
1524085930.529658,51101,0.4482421875
1524085976.463336,51201,0.4716796875
1524086022.242057,51301,0.4833984375
1524086070.385666,51401,0.48681640625
1524086208.621138,51701,0.48486328125
1524086254.93285,51801,0.4716796875
1524086300.883413,51901,0.4775390625
1524086349.513193,52001,0.4931640625
1524086395.915012,52101,0.4921875
1524086441.74468,52201,0.46923828125
1524086487.253893,52301,0.46337890625
1524086533.278541,52401,0.46630859375
1524086579.14774,52501,0.447265625
1524086719.182751,52801,0.45361328125
1524086811.091447,53001,0.46826171875
1524086856.896384,53101,0.4609375
1524086997.112824,53401,0.4697265625
1524087088.748148,53601,0.47802734375
1524087134.510457,53701,0.4931640625
1524087228.58353,53901,0.47412109375
1524087319.875713,54101,0.50390625
1524087411.483999,54301,0.46044921875
1524087551.515525,54601,0.4638671875
1524087597.270207,54701,0.45703125
1524087643.397897,54801,0.482421875
1524087688.968475,54901,0.46630859375
1524087734.577147,55001,0.46337890625
1524087780.502683,55101,0.4736328125
1524087829.310159,55201,0.451171875
1524087875.035085,55301,0.47998046875
1524087920.933329,55401,0.47021484375
1524087966.825714,55501,0.4599609375
1524088012.554309,55601,0.474609375
1524088058.310386,55701,0.50537109375
1524088103.895098,55801,0.47412109375
1524088152.340212,55901,0.46435546875
1524088198.302275,56001,0.47509765625
1524088289.751939,56201,0.44970703125
1524088335.790538,56301,0.47119140625
1524088381.497073,56401,0.47900390625
1524088429.620904,56501,0.48046875
1524088475.418787,56601,0.4697265625
1524088520.902283,56701,0.47216796875
1524088566.69129,56801,0.45361328125
1524088704.05341,57101,0.486328125
1524088752.599839,57201,0.4794921875
1524088798.305046,57301,0.4658203125
1524088935.603539,57601,0.478515625
1524088981.204919,57701,0.47802734375
1524089075.448137,57901,0.48828125
1524089121.160085,58001,0.45556640625
1524089167.151682,58101,0.4619140625
1524089352.633572,58501,0.4609375
1524089398.200175,58601,0.4765625
1524089489.276313,58801,0.46337890625
1524089534.684321,58901,0.4765625
1524089625.868342,59101,0.45654296875
1524089673.680324,59201,0.4638671875
1524089719.158026,59301,0.48291015625
1524089764.508975,59401,0.4853515625
1524089900.631444,59701,0.49267578125
1524089948.507462,59801,0.48291015625
1524089994.119723,59901,0.45361328125
1524090085.03311,60101,0.4775390625
1524090130.56789,60201,0.48681640625
1524090221.437175,60401,0.47509765625
1524090271.675423,60501,0.45556640625
1524090317.063564,60601,0.4814453125
1524090362.311746,60701,0.47265625
1524090408.296628,60801,0.4609375
1524090454.032984,60901,0.47119140625
1524090548.173008,61101,0.48291015625
1524090593.706403,61201,0.5
1524090685.681699,61401,0.4755859375
1524090731.506575,61501,0.474609375
1524090777.216026,61601,0.466796875
1524090823.334661,61701,0.4697265625
1524091009.941245,62101,0.4814453125
1524091055.41717,62201,0.48046875
1524091101.396054,62301,0.4912109375
1524091149.347697,62401,0.46240234375
1524091286.195897,62701,0.48046875
1524091331.68995,62801,0.47021484375
1524091377.554776,62901,0.46923828125
1524091423.016533,63001,0.48095703125
1524091471.13066,63101,0.4833984375
1524091608.040161,63401,0.474609375
1524091653.925663,63501,0.48095703125
1524091747.386841,63701,0.455078125
1524091838.400069,63901,0.48046875
1524091929.763467,64101,0.4716796875
1524092020.654403,64301,0.47705078125
1524092068.565324,64401,0.46044921875
1524092159.14662,64601,0.4775390625
1524092204.573001,64701,0.47607421875
1524092250.23411,64801,0.4716796875
1524092295.946267,64901,0.478515625
1524092344.101714,65001,0.49169921875
1524092389.497713,65101,0.45947265625
1524092525.633196,65401,0.48681640625
1524092571.000651,65501,0.484375
1524092616.531487,65601,0.4765625
1524092664.468297,65701,0.4814453125
1524092710.220933,65801,0.47705078125
1524092756.156875,65901,0.4697265625
1524092802.058854,66001,0.4775390625
1524092893.893921,66201,0.48681640625
1524092941.922588,66301,0.45751953125
1524092987.682632,66401,0.48876953125
1524093079.094075,66601,0.46728515625
1524093124.806017,66701,0.47705078125
1524093170.648645,66801,0.462890625
1524093216.249861,66901,0.47802734375
1524093264.636984,67001,0.4814453125
1524093310.484277,67101,0.48876953125
1524093356.037664,67201,0.48583984375
1524093540.849447,67601,0.4697265625
1524093632.136746,67801,0.47265625
1524093677.575039,67901,0.482421875
1524093814.188012,68201,0.47900390625
1524093907.308584,68401,0.482421875
1524093952.688677,68501,0.4736328125
1524093998.543298,68601,0.46826171875
1524094043.915436,68701,0.4677734375
1524094137.439048,68901,0.46826171875
1524094183.04896,69001,0.45654296875
1524094229.109152,69101,0.48046875
1524094366.844476,69401,0.4599609375
1524094413.041621,69501,0.45654296875
1524094461.873316,69601,0.47705078125
1524094507.659294,69701,0.4775390625
1524094553.73469,69801,0.4833984375
1524094599.801443,69901,0.482421875
1524094645.843019,70001,0.49267578125
1524094837.397009,70401,0.4736328125
1524094883.195386,70501,0.4775390625
1524094975.233346,70701,0.4765625
1524095021.187906,70801,0.48583984375
1524095070.018176,70901,0.47998046875
1524095116.002629,71001,0.4794921875
1524095253.725466,71301,0.4755859375
1524095299.344653,71401,0.45947265625
1524095347.652405,71501,0.4912109375
1524095439.833126,71701,0.46923828125
1524095532.292811,71901,0.49609375
1524095623.967461,72101,0.47216796875
1524095672.222377,72201,0.48291015625
1524095718.031582,72301,0.5009765625
1524095763.51596,72401,0.46435546875
1524095809.485943,72501,0.4892578125
1524095854.963949,72601,0.47998046875
1524095900.299255,72701,0.4697265625
1524095948.104091,72801,0.4794921875
1524095993.924961,72901,0.4892578125
1524096085.704727,73101,0.46435546875
1524096176.984045,73301,0.478515625
1524096222.782542,73401,0.4619140625
1524096316.439425,73601,0.47509765625
1524096362.476445,73701,0.4794921875
1524096408.211321,73801,0.47412109375
1524096453.829396,73901,0.4736328125
